,uarch,uarch_lower,variant,description,details,total_area_estimate
69,CV32E40PXISAACV69,cv32e40pxisaacv69,V69,all:69,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
70,CV32E40PXISAACV70,cv32e40pxisaacv70,V70,all:70,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
71,CV32E40PXISAACV71,cv32e40pxisaacv71,V71,all:71,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
72,CV32E40PXISAACV72,cv32e40pxisaacv72,V72,all:72,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
73,CV32E40PXISAACV73,cv32e40pxisaacv73,V73,all:73,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
74,CV32E40PXISAACV74,cv32e40pxisaacv74,V74,all:74,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
75,CV32E40PXISAACV75,cv32e40pxisaacv75,V75,all:75,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
76,CV32E40PXISAACV76,cv32e40pxisaacv76,V76,all:76,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
77,CV32E40PXISAACV77,cv32e40pxisaacv77,V77,all:77,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
78,CV32E40PXISAACV78,cv32e40pxisaacv78,V78,all:78,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
79,CV32E40PXISAACV79,cv32e40pxisaacv79,V79,all:79,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
80,CV32E40PXISAACV80,cv32e40pxisaacv80,V80,all:80,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
81,CV32E40PXISAACV81,cv32e40pxisaacv81,V81,all:81,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
82,CV32E40PXISAACV82,cv32e40pxisaacv82,V82,all:82,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
83,CV32E40PXISAACV83,cv32e40pxisaacv83,V83,all:83,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
84,CV32E40PXISAACV84,cv32e40pxisaacv84,V84,all:84,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
85,CV32E40PXISAACV85,cv32e40pxisaacv85,V85,all:85,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
86,CV32E40PXISAACV86,cv32e40pxisaacv86,V86,all:86,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
87,CV32E40PXISAACV87,cv32e40pxisaacv87,V87,all:87,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
88,CV32E40PXISAACV88,cv32e40pxisaacv88,V88,all:88,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
89,CV32E40PXISAACV89,cv32e40pxisaacv89,V89,all:89,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
90,CV32E40PXISAACV90,cv32e40pxisaacv90,V90,all:90,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
91,CV32E40PXISAACV91,cv32e40pxisaacv91,V91,all:91,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
92,CV32E40PXISAACV92,cv32e40pxisaacv92,V92,all:92,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
93,CV32E40PXISAACV93,cv32e40pxisaacv93,V93,all:93,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
94,CV32E40PXISAACV94,cv32e40pxisaacv94,V94,all:94,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
95,CV32E40PXISAACV95,cv32e40pxisaacv95,V95,all:95,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
96,CV32E40PXISAACV96,cv32e40pxisaacv96,V96,all:96,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
97,CV32E40PXISAACV97,cv32e40pxisaacv97,V97,all:97,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
98,CV32E40PXISAACV98,cv32e40pxisaacv98,V98,all:98,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
99,CV32E40PXISAACV99,cv32e40pxisaacv99,V99,all:99,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
